Index,X Axis,W(AV)
1,1.0000000000000002,1214.8830344447717-1.760619761894849j
2,1.1220184543019636,1214.8823740614819-1.9754467904758823j
3,1.258925411794167,1214.8815426825258-2.2164862381952055j
4,1.412537544622754,1214.88049602864-2.48693632121417j
5,1.584893192461113,1214.8791783844104-2.790385421840323j
6,1.7782794100389219,1214.8775195699461-3.1308596646573434j
7,1.9952623149688786,1214.8754312511219-3.512876285440753j
8,2.238721138568338,1214.872802219284-3.941503493682361j
9,2.5118864315095784,1214.8694924925503-4.422427614088645j
10,2.818382931264451,1214.865325811708-4.962028383944453j
11,3.162277660168376,1214.8600803095228-5.567463387804061j
12,3.5481338923357506,1214.8534766867185-6.246762722261267j
13,3.981071705534968,1214.8451633150316-7.008935109488565j
14,4.466835921509626,1214.8346975555098-7.8640868153609835j
15,5.0118723362727176,1214.8215222204803-8.823554874647604j
16,5.623413251903484,1214.804935839085-9.900056283718191j
17,6.3095734448019245,1214.784055482366-11.107854995639808j
18,7.07945784384137,1214.7577696861133-12.46294871570307j
19,7.943282347242803,1214.7246794374248-13.983277684648302j
20,8.912509381337442,1214.6830238430891-15.688957795784674j
21,9.999999999999984,1214.6305866361795-17.602540546855835j
22,11.220184543019615,1214.5645785295574-19.749302436298876j
23,12.58925411794165,1214.4814894313997-22.15756646729319j
24,14.125375446227517,1214.3769026230204-24.859058355197373j
25,15.848931924611104,1214.2452612387974-27.889299814319834j
26,17.782794100389193,1214.0795751107069-31.288040836678444j
27,19.952623149688755,1213.8710528769388-35.09973203547786j
28,22.387211385683347,1213.6086407393868-39.37403676564497j
29,25.118864315095742,1213.2784446544158-44.166380592901376j
30,28.18382931264447,1212.8630077080745-49.53853247613624j
31,31.622776601683718,1212.3404077577577-55.55920724253321j
32,35.481338923357455,1211.6831331917965-62.30467201243209j
33,39.81071705534962,1210.8566858273448-69.8593292531664j
34,44.66835921509619,1209.8178512637385-78.31623510783908j
35,50.11872336272709,1208.5125668680537-87.77749189200976j
36,56.234132519034745,1206.8733090888995-98.35442644777024j
37,63.09573444801913,1204.815915887869-110.16742898468345j
38,70.79457843841357,1202.2357601711692-123.34527741124295j
39,79.43282347242788,1199.003201694085-138.02370715851595j
40,89.12509381337425,1194.958276145101-154.34290375878714j
41,99.99999999999966,1189.904643619095-172.44349442656593j
42,112.20184543019595,1183.6029309104588-192.4604987333048j
43,125.89254117941627,1175.7637876997078-214.51457866347616j
44,141.2537544622749,1166.0412619871847-238.69982931597224j
45,158.48931924611077,1154.0275151122332-265.0673204540396j
46,177.8279410038916,1139.2504592302373-293.6037147051696j
47,199.5262314968872,1121.176595891754-324.20466877908854j
48,223.87211385683307,1099.222083457956-356.6435273202122j
49,251.188643150957,1072.7756595157111-390.5372115178909j
50,281.8382931264442,1041.2371208640343-425.31329042454524j
51,316.2277660168366,1004.074057101516-460.18489691753615j
52,354.81338923357396,960.8967934292183-494.1428938785971j
53,398.1071705534955,911.5465823561045-525.9763941507773j
54,446.68359215096115,856.1852935076741-554.3317117504749j
55,501.18723362726996,795.3678331952755-577.8143608217011j
56,562.3413251903464,730.0744561585428-595.1282446120545j
57,630.9573444801902,661.6827953545929-605.2326301585681j
58,707.9457843841343,591.8710042554796-607.4858582335098j
59,794.3282347242774,522.4619188020905-601.7413423717637j
60,891.2509381337409,455.23690521186825-588.3702659754279j
61,999.9999999999948,391.7585189037507-568.204657904044j
62,1122.0184543019575,333.2380080262223-542.4165064167977j
63,1258.9254117941605,280.46863500447273-512.3639334921495j
64,1412.5375446227465,233.82608753077906-479.43876395905176j
65,1584.8931924611045,193.32121288225844-444.9420796489883j
66,1778.2794100389126,158.68269531301002-410.00110066668617j
67,1995.262314968868,129.44801090225283-375.5280941893045j
68,2238.7211385683268,105.04682428233633-342.21367314751336j
69,2511.886431509565,84.86821583206799-310.5435024302342j
70,2818.3829312644366,68.30920792819207-280.82782695737626j
71,3162.27766016836,54.80599932536628-253.235571254424j
72,3548.1338923357325,43.85122024498007-227.82757245386767j
73,3981.071705534948,35.00097366125352-204.58595891788866j
74,4466.835921509603,27.875064345823414-183.43846501910866j
75,5011.872336272691,22.153117980294336-164.27758774244538j
76,5623.413251903455,17.568550649819244-146.97508754520163j
77,6309.573444801892,13.9017064355068-131.39258308318628j
78,7079.457843841334,10.972984049806-117.38902850071919j
79,7943.282347242763,8.636418474546739-104.82579357237192j
80,8912.509381337395,6.773945613011656-93.56995459845136j
81,9999.99999999993,5.29042781214953-83.4962836464782j
82,11220.184543019557,4.109429631224216-74.4883134412254j
83,12589.254117941584,3.1696858035308915-66.43876207003972j
84,14125.375446227443,2.42218193111494-59.2495269349175j
85,15848.93192461102,1.8277626986850561-52.83139946131102j
86,17782.7941003891,1.3551854291378356-47.1036083073605j
87,19952.62314968865,0.9795442828983358-41.99326638210108j
88,22387.21138568323,0.6809996772188022-37.43477331831318j
89,25118.864315095612,0.443757046456893-33.36920801078994j
90,28183.829312644324,0.25524804894176-29.74373372120353j
91,31622.77660168355,0.1054753723402588-26.511029743131715j
92,35481.33892335727,-0.013510738571126927-23.628757723781806j
93,39810.71705534941,-0.1080301994022644-21.05906671258755j
94,44668.35921509595,-0.18310608511722812-18.768138309459793j
95,50118.72336272682,-0.24272987955739647-16.725771524296885j
96,56234.13251903444,-0.2900726181723041-14.905005852655867j
97,63095.7344480188,-0.32765286260550625-13.281780415699378j
98,70794.5784384132,-0.3574702600676591-11.834626665020812j
99,79432.82347242747,-0.3811116785392836-10.54439201132088j
100,89125.09381337378,-0.39983549383118455-9.39399173042984j
101,99999.99999999913,-0.41463846974387597-8.36818658127868j
102,112201.84543019535,-0.4263087642610172-7.4533837042407525j
103,125892.5411794156,-0.43546786829186773-6.637458531914889j
104,141253.75446227414,-0.44260370302775676-5.90959562271067j
105,158489.3192461099,-0.44809663839000247-5.260146510631948j
106,177827.94100389065,-0.4522398252824987-4.680502846655464j
107,199526.23149688612,-0.455254940003095-4.162983284752722j
108,223872.11385683186,-0.4573042063670968-3.70073273771827j
109,251188.64315095564,-0.4584993793839572-3.287632794350849j
110,281838.2931264427,-0.4589082369949314-2.918222251135036j
111,316227.7660168349,-0.458559029871054-2.58762686864117j
112,354813.389233572,-0.45744328367916337-2.2914976156884403j
113,398107.1705534933,-0.45551733692001667-2.0259568098879646j
114,446683.5921509587,-0.4527030370889016-1.7875516948718775j
115,501187.23362726724,-0.44888811687190017-1.5732150977546742j
116,562341.3251903434,-0.443926937103918-1.3802328594591846j
117,630957.3444801868,-0.43764251241815405-1.206217684971242j
118,707945.7843841305,-0.4298310057971794-1.0490888636158855j
119,794328.2347242732,-0.42027012694228655-0.9070568951334899j
120,891250.9381337361,-0.40873297249492113-0.7786113725744535j
121,999999.9999999894,-0.39500860530318177-0.662509525031957j
122,1122018.4543019515,-0.3789298317750427-0.5577617537605172j
123,1258925.4117941537,-0.36040698087686335-0.46360966220944566j
124,1412537.544622739,-0.3394640108174973-0.37949208357041936j
125,1584893.1924610962,-0.31627042389584104-0.3049961560623321j
126,1778279.4100389034,-0.2911603224669255-0.23979402204003444j
127,1995262.314968858,-0.26462997356970064-0.18357084189501446j
128,2238721.1385683147,-0.23730864518258826-0.13595492833507605j
129,2511886.431509552,-0.20990407397658162-0.09646346875680373j
130,2818382.9312644224,-0.18313164117411668-0.06447545593940997j
131,3162277.6601683437,-0.15764184127580205-0.03923697557395891j
132,3548133.8923357143,-0.13396122210966033-0.019895294341465534j
133,3981071.705534927,-0.11245734923410616-0.005550965767539711j
134,4466835.92150958,-0.09333080962837445+0.0046857479598677015j
135,5011872.336272665,-0.07663019383557197+0.011646021992120557j
136,5623413.251903425,-0.062281837233779766+0.016068270567818847j
137,6309573.444801859,-0.050125413811496+0.01858041823142739j
138,7079457.843841296,-0.03994828043620623+0.01969653606320179j
139,7943282.34724272,-0.03151426845428457+0.019823807118815838j
140,8912509.381337348,-0.02458522395931476+0.01927553314788551j
141,9999999.99999988,-0.018935429300507726+0.018286631304319508j
142,1.12201845430195E7,-0.014360024636497251+0.017029153527407994j
143,1.2589254117941521E7,-0.010678883193401191+0.01562638261208351j
144,1.4125375446227372E7,-0.0077373342432545565+0.01416483800216923j
145,1.5848931924610943E7,-0.005404886140725883+0.012704034442835032j
146,1.778279410038901E7,-0.003572815267069456+0.011284124449295187j
147,1.995262314968855E7,-0.0021512274038650446+0.009931687280367519j
148,2.238721138568312E7,-0.001065994797776085+0.00866396274299721j
149,2.511886431509549E7,-2.558296684987096E-4+0.007491814336475158j
150,2.8183829312644187E7,3.303355996589665E-4+0.00642167685939548j
151,3.1622776601683397E7,7.355471437458202E-4+0.005456720533757809j
152,3.54813389233571E7,9.965356384090632E-4+0.004597455316090436j
153,3.981071705534922E7,0.0011449075086239454+0.0038419988388585895j
154,4.466835921509574E7,0.0012078629871487632+0.003186221398300945j
155,5.0118723362726584E7,0.0012085509990176165+0.002623942987171168j
156,5.6234132519034185E7,0.0011662201508072176+0.0021472854531780212j
157,6.30957344480185E7,0.0010963327466890027+0.001747193225513016j
158,7.079457843841286E7,0.001010769515436047+0.0014140583070756997j
159,7.94328234724271E7,9.181837659187364E-4+0.00113834503567125j
160,8.912509381337336E7,8.244939086604267E-4+9.111143562999352E-4j
161,9.999999999999866E7,7.334563123867653E-4+7.243831624674416E-4j
162,1.1220184543019484E8,6.472443623547509E-4+5.71300197974461E-4j
163,1.2589254117941502E8,5.669683855801979E-4+4.4615862785305784E-4j
164,1.412537544622735E8,4.930931768079427E-4+3.442889477548635E-4j
165,1.584893192461092E8,4.2573522446570275E-4+2.6188451148796997E-4j
166,1.7782794100388983E8,3.6484448288522255E-4+1.9580890341056481E-4j
167,1.995262314968852E8,3.10292502091586E-4+1.4342314596938854E-4j
168,2.238721138568309E8,2.6189788540857326E-4+1.0245479228555053E-4j
169,2.5118864315095454E8,2.1942062534962021E-4+7.091443689256534E-5j
170,2.818382931264415E8,1.8255028597469989E-4+4.705224752068664E-5j
171,3.162277660168335E8,1.509026904868581E-4+2.9340360919218313E-5j
172,3.548133892335705E8,1.2402967250594901E-4+1.646647036160934E-5j
173,3.9810717055349165E8,1.0143937095215467E-4+7.327682855484408E-6j
174,4.466835921509568E8,8.262141043460645E-5+1.0189940980834947E-6j
175,5.011872336272652E8,6.707138338337599E-5-3.1847155786763238E-6j
176,5.623413251903411E8,5.431084508658354E-5-5.851484933772217E-6j
177,6.309573444801842E8,4.390117571630201E-5-7.417189300473739E-6j
178,7.079457843841276E8,3.54513457485073E-5-8.210075318461303E-6j
179,7.943282347242699E8,2.8620594561129717E-5-8.473152879848827E-6j
180,8.912509381337324E8,2.311739029317462E-5-8.383501168113207E-6j
181,1.0E9,1.8695998023115912E-5-8.068205291695955E-6j
